,Country,IDH,PIB PC,Host,Total atletas,Hombres participantes,Mujeres participantes,Gobierno,Paridad,Poblacion,Population,Oro,Plata,Bronce,Medals
1,GER,0.917,45427.15,0,420,237,183,0,0.44,82110097,82.11,16,11,14,41
2,AUS,0.92,49601.66,0,432,233,199,0,0.46,21249200,21.249,14,15,17,46
3,BRA,0.716,8831.02,0,268,139,129,0,0.48,192030362,192.03,3,4,9,16
4,CAN,0.899,46594.45,0,332,186,146,0,0.44,33247118,33.247,3,9,8,20
5,CHN,0.685,3468.3,1,600,312,288,1,0.48,1324655000,1324.655,48,22,30,100
6,PRK,0.6,449,0,58,21,37,1,0.64,24310142,24.31,2,2,2,6
7,KOR,0.874,20430.64,0,265,159,106,0,0.4,49054708,49.055,13,11,8,32
8,CUB,0.78,5411.27,0,158,102,56,1,0.35,11236971,11.237,3,10,16,29
9,USA,0.91,48382.56,0,589,307,282,0,0.48,304093966,304.094,36,39,23,98
10,ESP,0.856,35366.26,0,283,163,120,0,0.42,45954106,45.954,5,11,3,19
11,ETH,0.394,326.44,0,27,14,13,0,0.48,82916235,82.916,4,2,1,7
12,FRA,0.878,45334.11,0,309,188,121,0,0.39,64374984,64.375,7,16,20,43
13,GBR,0.896,47287,0,304,163,141,0,0.46,61806995,61.807,19,13,17,49
14,GRE,0.857,31997.28,0,152,82,70,0,0.46,11077841,11.078,0,2,1,3
15,HUN,0.818,15753.47,0,171,88,83,0,0.49,10038188,10.038,3,5,2,10
16,IND ,0.564,998.52,0,53,31,22,0,0.42,1200669765,1200.67,1,0,2,3
17,INA,0.646,2166.85,0,24,15,9,0,0.38,235469762,235.47,1,1,4,6
18,IRI,0.741,5630.44,0,54,51,3,0,0.06,72120604,72.121,1,0,1,2
19,ITA,0.868,40778.34,0,333,203,130,0,0.39,58826731,58.827,8,9,10,27
20,JAM,0.708,4917.72,0,50,23,27,0,0.54,2781876,2.782,5,4,1,10
21,JPN,0.881,39339.3,0,332,167,165,0,0.5,128063000,128.063,9,7,9,25
22,KEN,0.523,902.07,0,46,28,18,0,0.39,39791981,39.792,6,4,6,16
23,MEX,0.742,10016.57,0,83,43,40,0,0.48,110815271,110.815,2,0,2,4
24,NOR,0.938,96944.1,0,84,30,54,0,0.64,4768212,4.768,3,5,1,9
25,NZL,0.894,31287.94,0,178,96,82,0,0.46,4259800,4.26,3,2,4,9
26,NED,0.906,57644.48,0,237,139,98,0,0.41,16445593,16.446,7,5,4,16
27,POL,0.824,14001.45,0,257,156,101,0,0.39,38125759,38.126,4,5,2,11
28,ROU,0.795,10435.04,0,101,40,61,0,0.6,20537875,20.538,4,1,4,9
29,RUS,0.774,11635.27,0,454,231,223,1,0.49,142742350,142.742,24,13,23,60
30,THA,0.714,4379.66,0,47,22,25,0,0.53,66530984,66.531,2,2,2,6
31,TUR,0.71,10854.17,0,67,48,19,0,0.28,70418604,70.419,1,0,0,1
